+-----------------------------+--------------------------------------------------------------+------------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                        |
| of the Block class in question. The actual final values may be different                                              |
| for different states of the block, or they may depend on a TileEntity etc.                                            |
+-----------------------------+--------------------------------------------------------------+------------+-------------+
| Mod name                    | Registry name                                                |   Hardness |  Resistance |
+-----------------------------+--------------------------------------------------------------+------------+-------------+
| Apotheosis                  | apotheosis:hellshelf                                         |       2.00 |       30.00 |
| Apotheosis                  | apotheosis:prismatic_altar                                   |       1.50 |       30.00 |
| Astral Sorcery              | astralsorcery:blockaltar                                     |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockattunementaltar                           |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockattunementrelay                           |       0.50 |        3.00 |
| Astral Sorcery              | astralsorcery:blockblackmarble                               |       1.00 |        9.00 |
| Astral Sorcery              | astralsorcery:blockbore                                      |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockborehead                                  |      10.00 |       45.00 |
| Astral Sorcery              | astralsorcery:blockcelestialcollectorcrystal                 |      -1.00 |   600000.00 |
| Astral Sorcery              | astralsorcery:blockcelestialcrystals                         |       2.00 |       90.00 |
| Astral Sorcery              | astralsorcery:blockcelestialgateway                          |       4.00 |      120.00 |
| Astral Sorcery              | astralsorcery:blockchalice                                   |       2.00 |       45.00 |
| Astral Sorcery              | astralsorcery:blockcollectorcrystal                          |      -1.00 |   600000.00 |
| Astral Sorcery              | astralsorcery:blockcustomflower                              |       0.00 |        0.00 |
| Astral Sorcery              | astralsorcery:blockcustomore                                 |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockcustomsandore                             |       0.50 |        2.50 |
| Astral Sorcery              | astralsorcery:blockfaketree                                  |      -1.00 | 18000004.00 |
| Astral Sorcery              | astralsorcery:blockflarelight                                |      -1.00 |        0.00 |
| Astral Sorcery              | astralsorcery:blockgemcrystals                               |       2.00 |       60.00 |
| Astral Sorcery              | astralsorcery:blockinfusedwood                               |       1.00 |        9.00 |
| Astral Sorcery              | astralsorcery:blocklens                                      |       3.00 |       36.00 |
| Astral Sorcery              | astralsorcery:blockmachine                                   |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockmapdrawingtable                           |       2.00 |       45.00 |
| Astral Sorcery              | astralsorcery:blockmarble                                    |       1.00 |        9.00 |
| Astral Sorcery              | astralsorcery:blockmarbledoubleslab                          |       1.00 |        9.00 |
| Astral Sorcery              | astralsorcery:blockmarbleslab                                |       1.00 |        9.00 |
| Astral Sorcery              | astralsorcery:blockmarblestairs                              |       1.00 |        9.00 |
| Astral Sorcery              | astralsorcery:blockobservatory                               |       3.50 |        9.00 |
| Astral Sorcery              | astralsorcery:blockportalnode                                |      -1.00 | 18000004.00 |
| Astral Sorcery              | astralsorcery:blockprism                                     |       3.00 |       36.00 |
| Astral Sorcery              | astralsorcery:blockrituallink                                |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockritualpedestal                            |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockstarlightinfuser                          |       1.00 |       30.00 |
| Astral Sorcery              | astralsorcery:blockstructural                                |      -1.00 |        0.00 |
| Astral Sorcery              | astralsorcery:blocktranslucentblock                          |      -1.00 | 18000004.00 |
| Astral Sorcery              | astralsorcery:blocktreebeacon                                |       1.00 |       30.00 |
| Astral Sorcery              | astralsorcery:blockvanishing                                 |      -1.00 |        0.00 |
| Astral Sorcery              | astralsorcery:blockwell                                      |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:blockworldilluminator                          |       3.00 |       75.00 |
| Astral Sorcery              | astralsorcery:fluidblockliquidstarlight                      |       0.00 |        0.00 |
| Botania                     | botania:alchemycatalyst                                      |       2.00 |       30.00 |
| Botania                     | botania:alfheimportal                                        |      10.00 |       50.00 |
| Botania                     | botania:altar                                                |       3.50 |       17.50 |
| Botania                     | botania:altgrass                                             |       0.60 |        3.00 |
| Botania                     | botania:animatedtorch                                        |       0.00 |        0.00 |
| Botania                     | botania:avatar                                               |       2.00 |       10.00 |
| Botania                     | botania:bellows                                              |       2.00 |       10.00 |
| Botania                     | botania:bifrost                                              |      -1.00 |        0.00 |
| Botania                     | botania:bifrostperm                                          |       0.30 |        1.50 |
| Botania                     | botania:bifrostpermpane                                      |       0.30 |        1.50 |
| Botania                     | botania:biomestonea                                          |       1.50 |       30.00 |
| Botania                     | botania:biomestonea0slab                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea0slabfull                                 |       1.50 |       30.00 |
| Botania                     | botania:biomestonea0stairs                                   |       1.50 |       30.00 |
| Botania                     | botania:biomestonea0wall                                     |       1.50 |       30.00 |
| Botania                     | botania:biomestonea10slab                                    |       1.50 |       30.00 |
| Botania                     | botania:biomestonea10slabfull                                |       1.50 |       30.00 |
| Botania                     | botania:biomestonea10stairs                                  |       1.50 |       30.00 |
| Botania                     | botania:biomestonea11slab                                    |       1.50 |       30.00 |
| Botania                     | botania:biomestonea11slabfull                                |       1.50 |       30.00 |
| Botania                     | botania:biomestonea11stairs                                  |       1.50 |       30.00 |
| Botania                     | botania:biomestonea12slab                                    |       1.50 |       30.00 |
| Botania                     | botania:biomestonea12slabfull                                |       1.50 |       30.00 |
| Botania                     | botania:biomestonea12stairs                                  |       1.50 |       30.00 |
| Botania                     | botania:biomestonea13slab                                    |       1.50 |       30.00 |
| Botania                     | botania:biomestonea13slabfull                                |       1.50 |       30.00 |
| Botania                     | botania:biomestonea13stairs                                  |       1.50 |       30.00 |
| Botania                     | botania:biomestonea14slab                                    |       1.50 |       30.00 |
| Botania                     | botania:biomestonea14slabfull                                |       1.50 |       30.00 |
| Botania                     | botania:biomestonea14stairs                                  |       1.50 |       30.00 |
| Botania                     | botania:biomestonea15slab                                    |       1.50 |       30.00 |
