+------------------------------------------+-----------------------------------------+-----------------------+-----------+----+
| Registry name                            | Name                                    | Type                  | Rarity    | ID |
+------------------------------------------+-----------------------------------------+-----------------------+-----------+----+
| apotheosis:berserk                       | enchantment.apotheosis.berserk          | ARMOR                 | VERY_RARE | 30 |
| apotheosis:capturing                     | enchantment.spw.capturing               | WEAPON                | VERY_RARE | 40 |
| apotheosis:depth_miner                   | enchantment.apotheosis.depth_miner      | DIGGER                | RARE      | 15 |
| apotheosis:hell_infusion                 | enchantment.apotheosis.hell_infusion    | WEAPON                | VERY_RARE | 13 |
| apotheosis:icy_thorns                    | enchantment.apotheosis.icy_thorns       | ARMOR_CHEST           | RARE      | 26 |
| apotheosis:knowledge                     | enchantment.apotheosis.knowledge        | WEAPON                | RARE      | 31 |
| apotheosis:life_mending                  | enchantment.apotheosis.life_mending     | BREAKABLE             | VERY_RARE | 25 |
| apotheosis:magic_protection              | enchantment.apotheosis.magic_protection | ARMOR                 | UNCOMMON  | 39 |
| apotheosis:mounted_strike                | enchantment.apotheosis.mounted_strike   | WEAPON                | RARE      | 14 |
| apotheosis:natures_blessing              | enchantment.apotheosis.natures_blessing | <null>                | RARE      | 37 |
| apotheosis:rebounding                    | enchantment.apotheosis.rebounding       | ARMOR                 | RARE      | 38 |
| apotheosis:reflective                    | enchantment.apotheosis.reflective       | <null>                | RARE      | 29 |
| apotheosis:scavenger                     | enchantment.apotheosis.scavenger        | WEAPON                | VERY_RARE | 24 |
| apotheosis:shield_bash                   | enchantment.apotheosis.shield_bash      | <null>                | RARE      | 28 |
| apotheosis:splitting                     | enchantment.apotheosis.splitting        | <null>                | RARE      | 36 |
| apotheosis:stable_footing                | enchantment.apotheosis.stable_footing   | ARMOR_FEET            | RARE      | 23 |
| apotheosis:tempting                      | enchantment.apotheosis.tempting         | <null>                | UNCOMMON  | 27 |
| apotheosis:true_infinity                 | enchantment.apotheosis.true_infinity    | BOW                   | VERY_RARE | 41 |
| astralsorcery:enchantment.as.nightvision | enchantment.as.nightvision              | ARMOR_HEAD            | VERY_RARE | 42 |
| astralsorcery:enchantment.as.smelting    | enchantment.as.smelting                 | DIGGER                | VERY_RARE | 43 |
| enchantingfever:antiarmour               | enchantment.antiarmour                  | WEARABLE              | UNCOMMON  | 78 |
| enchantingfever:arrowballoon             | enchantment.arrowBalloon                | BOW                   | UNCOMMON  | 56 |
| enchantingfever:badgardening             | enchantment.badgardening                | ALL                   | UNCOMMON  | 79 |
| enchantingfever:coldthorns               | enchantment.coldthorns                  | ARMOR                 | RARE      | 52 |
| enchantingfever:core_miner               | enchantment.core_miner                  | ALL                   | UNCOMMON  | 74 |
| enchantingfever:cultivator               | enchantment.cultivator                  | ALL                   | UNCOMMON  | 67 |
| enchantingfever:cursedarrow              | enchantment.cursedArrow                 | BOW                   | RARE      | 65 |
| enchantingfever:endaffinity              | enchantment.endAffinity                 | ARMOR                 | VERY_RARE | 73 |
| enchantingfever:explosivefall            | enchantment.explosivefall               | ARMOR                 | UNCOMMON  | 53 |
| enchantingfever:freezing                 | enchantment.freezing                    | WEAPON                | UNCOMMON  | 44 |
| enchantingfever:holyarrows               | enchantment.holyArrows                  | BOW                   | UNCOMMON  | 58 |
| enchantingfever:holyblade                | enchantment.holyblade                   | WEAPON                | RARE      | 57 |
| enchantingfever:leeching                 | enchantment.leeching                    | WEAPON                | UNCOMMON  | 80 |
| enchantingfever:lightning                | enchantment.lightning                   | WEAPON                | UNCOMMON  | 47 |
| enchantingfever:lightningbow             | enchantment.lightningBow                | BOW                   | UNCOMMON  | 60 |
| enchantingfever:magmawalker              | enchantment.magmawalker                 | ARMOR_FEET            | RARE      | 46 |
| enchantingfever:netheraffinity           | enchantment.netherAffinity              | ARMOR                 | RARE      | 69 |
| enchantingfever:overworldaffinity        | enchantment.overworldAffinity           | ARMOR                 | RARE      | 72 |
| enchantingfever:pillowyhelm              | enchantment.pillowyHelm                 | ARMOR_HEAD            | UNCOMMON  | 68 |
| enchantingfever:poseidonarrow            | enchantment.poseidonarrow               | BOW                   | VERY_RARE | 64 |
| enchantingfever:reinforced               | enchantment.reinforced                  | ALL                   | UNCOMMON  | 76 |
| enchantingfever:reversedamage            | enchantment.reversedamage               | WEAPON                | UNCOMMON  | 55 |
| enchantingfever:reversedamagebow         | enchantment.reversedamageBow            | BOW                   | UNCOMMON  | 59 |
