+-----------------------+-------------------------------------------+------------------------------+-----+
| Mod name              | Registry name                             | Entity class name            |  ID |
+-----------------------+-------------------------------------------+------------------------------+-----+
| Artifacts             | artifacts:hallow_star                     | EntityHallowStar             |   1 |
| Artifacts             | artifacts:mimic                           | EntityMimic                  |   0 |
| Astral Sorcery        | astralsorcery:entitycrystal               | EntityCrystal                |   2 |
| Astral Sorcery        | astralsorcery:entitycrystaltool           | EntityCrystalTool            |   7 |
| Astral Sorcery        | astralsorcery:entityflare                 | EntityFlare                  |   3 |
| Astral Sorcery        | astralsorcery:entitygrapplinghook         | EntityGrapplingHook          |   8 |
| Astral Sorcery        | astralsorcery:entityhighlighted           | EntityItemHighlighted        |   0 |
| Astral Sorcery        | astralsorcery:entityilluminationspark     | EntityIlluminationSpark      |   5 |
| Astral Sorcery        | astralsorcery:entityitemdamageresistant   | EntityItemExplosionResistant |  13 |
| Astral Sorcery        | astralsorcery:entityliquidspark           | EntityLiquidSpark            |  10 |
| Astral Sorcery        | astralsorcery:entitynocturnalspark        | EntityNocturnalSpark         |   6 |
| Astral Sorcery        | astralsorcery:entityobservatoryhelper     | EntityObservatoryHelper      |  11 |
| Astral Sorcery        | astralsorcery:entityshootingstar          | EntityShootingStar           |  12 |
| Astral Sorcery        | astralsorcery:entityspectraltool          | EntitySpectralTool           |   9 |
| Astral Sorcery        | astralsorcery:entitystarburst             | EntityStarburst              |   4 |
| Astral Sorcery        | astralsorcery:entitystardust              | EntityItemStardust           |   1 |
| Botania               | botania:babylon_weapon                    | EntityBabylonWeapon          |  17 |
| Botania               | botania:corporea_spark                    | EntityCorporeaSpark          |  11 |
| Botania               | botania:doppleganger                      | EntityDoppleganger           |   5 |
| Botania               | botania:ender_air_bottle                  | EntityEnderAirBottle         |  12 |
| Botania               | botania:falling_star                      | EntityFallingStar            |  18 |
| Botania               | botania:flame_ring                        | EntityFlameRing              |   3 |
| Botania               | botania:magic_landmine                    | EntityMagicLandmine          |   6 |
| Botania               | botania:magic_missile                     | EntityMagicMissile           |   9 |
| Botania               | botania:mana_burst                        | EntityManaBurst              |   0 |
| Botania               | botania:mana_storm                        | EntityManaStorm              |  16 |
| Botania               | botania:pink_wither                       | EntityPinkWither             |  14 |
| Botania               | botania:pixie                             | EntityPixie                  |   2 |
| Botania               | botania:player_mover                      | EntityPlayerMover            |  15 |
| Botania               | botania:pool_minecart                     | EntityPoolMinecart           |  13 |
| Botania               | botania:signal_flare                      | EntitySignalFlare            |   1 |
| Botania               | botania:spark                             | EntitySpark                  |   7 |
| Botania               | botania:thorn_chakram                     | EntityThornChakram           |  10 |
| Botania               | botania:thrown_item                       | EntityThrownItem             |   8 |
| Botania               | botania:vine_ball                         | EntityVineBall               |   4 |
| Bountiful Baubles     | bountifulbaubles:bee                      | EntityBee                    |   2 |
| Bountiful Baubles     | bountifulbaubles:beenade                  | EntityBeenade                |   1 |
| Bountiful Baubles     | bountifulbaubles:flare                    | EntityFlare                  |   3 |
| Bountiful Baubles     | bountifulbaubles:grenade                  | EntityGrenade                |   0 |
| Clumps                | clumps:xp_orb_big                         | EntityXPOrbBig               |   0 |
| Dungeon Mobs          | dungeonmobs:dmbeholder                    | EntityAhriman                |   6 |
| Dungeon Mobs          | dungeonmobs:dmbladetrap                   | EntityBladeTrap              |  23 |
| Dungeon Mobs          | dungeonmobs:dmcavefisher                  | EntityCaveFisher             |   9 |
| Dungeon Mobs          | dungeonmobs:dmcockatrice                  | EntityCockatrice             |  18 |
| Dungeon Mobs          | dungeonmobs:dmdarkball                    | EntityEldermobBall           |  33 |
| Dungeon Mobs          | dungeonmobs:dmdestrachan                  | EntityDestrachan             |  10 |
| Dungeon Mobs          | dungeonmobs:dmeldermob                    | EntityEldermob               |  34 |
| Dungeon Mobs          | dungeonmobs:dmfallenangel                 | EntityFallenAngel            |  30 |
| Dungeon Mobs          | dungeonmobs:dmghost                       | EntityGhost                  |  36 |
