+-----------------------------+--------------------------------------------------------------+---------+----------+----------+-----------------------------------------------+-------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                          |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                  |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                |
| *** ALSO ***                                                                                                                                                                                                                             |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                 |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                |
+-----------------------------+--------------------------------------------------------------+---------+----------+----------+-----------------------------------------------+-------------------------------------------------------------+
| Mod name                    | Registry name                                                | Item ID | Meta/dmg | Subtypes | Display name                                  | Ore Dict keys                                               |
+-----------------------------+--------------------------------------------------------------+---------+----------+----------+-----------------------------------------------+-------------------------------------------------------------+
| Apotheosis                  | apotheosis:armor_chest_book                                  |    5454 |        0 |    false | Tome of Chestplates                           |                                                             |
| Apotheosis                  | apotheosis:armor_feet_book                                   |    5456 |        0 |    false | Tome of Boots                                 |                                                             |
| Apotheosis                  | apotheosis:armor_head_book                                   |    5453 |        0 |    false | Tome of Helmets                               |                                                             |
| Apotheosis                  | apotheosis:armor_legs_book                                   |    5455 |        0 |    false | Tome of Legplates                             |                                                             |
| Apotheosis                  | apotheosis:bow_book                                          |    5460 |        0 |    false | Tome of the Archers                           |                                                             |
| Apotheosis                  | apotheosis:digger_book                                       |    5458 |        0 |    false | Tome of the Miners                            |                                                             |
| Apotheosis                  | apotheosis:farmers_leash                                     |    5463 |        0 |    false | Ender-Farmer's Lead                           |                                                             |
| Apotheosis                  | apotheosis:fishing_rod_book                                  |    5459 |        0 |    false | Tome of the Fishers                           |                                                             |
| Apotheosis                  | apotheosis:hellshelf                                         |    5450 |        0 |    false | Hellshelf                                     |                                                             |
| Apotheosis                  | apotheosis:lucky_foot                                        |    5464 |        0 |    false | Lucky Rabbit's Foot                           |                                                             |
| Apotheosis                  | apotheosis:null_book                                         |    5452 |        0 |    false | Tome of the Others                            |                                                             |
| Apotheosis                  | apotheosis:prismatic_altar                                   |    5461 |        0 |    false | Altar of the Sea                              |                                                             |
| Apotheosis                  | apotheosis:prismatic_web                                     |    5451 |        0 |    false | Prismatic Cobweb                              |                                                             |
| Apotheosis                  | apotheosis:scrap_tome                                        |    5462 |        0 |    false | Tome of Scrapping                             |                                                             |
| Apotheosis                  | apotheosis:weapon_book                                       |    5457 |        0 |    false | Tome of Weaponry                              |                                                             |
| Artifacts                   | artifacts:bottled_cloud                                      |    4210 |        0 |    false | Cloud in a Bottle                             |                                                             |
| Artifacts                   | artifacts:bottled_fart                                       |    4211 |        0 |    false | Fart in a Jar                                 |                                                             |
| Artifacts                   | artifacts:cobalt_shield                                      |    4208 |        0 |    false | Cobalt Shield                                 |                                                             |
| Artifacts                   | artifacts:drinking_hat                                       |    4217 |        0 |    false | Drinking Hat                                  |                                                             |
| Artifacts                   | artifacts:everlasting_beef                                   |    4224 |        0 |    false | Everlasting Raw Beef                          |                                                             |
| Artifacts                   | artifacts:everlasting_chicken                                |    4226 |        0 |    false | Everlasting Raw Chicken                       |                                                             |
| Artifacts                   | artifacts:everlasting_clownfish                              |    4239 |        0 |    false | Everlasting Clownfish                         |                                                             |
| Artifacts                   | artifacts:everlasting_cod                                    |    4235 |        0 |    false | Everlasting Raw Cod                           |                                                             |
| Artifacts                   | artifacts:everlasting_cooked_beef                            |    4225 |        0 |    false | Everlasting Steak                             |                                                             |
| Artifacts                   | artifacts:everlasting_cooked_chicken                         |    4227 |        0 |    false | Everlasting Cooked Chicken                    |                                                             |
| Artifacts                   | artifacts:everlasting_cooked_cod                             |    4236 |        0 |    false | Everlasting Cooked Cod                        |                                                             |
| Artifacts                   | artifacts:everlasting_cooked_mutton                          |    4233 |        0 |    false | Everlasting Cooked Mutton                     |                                                             |
| Artifacts                   | artifacts:everlasting_cooked_porkchop                        |    4223 |        0 |    false | Everlasting Cooked Porkchop                   |                                                             |
| Artifacts                   | artifacts:everlasting_cooked_rabbit                          |    4231 |        0 |    false | Everlasting Cooked Rabbit                     |                                                             |
| Artifacts                   | artifacts:everlasting_cooked_salmon                          |    4238 |        0 |    false | Everlasting Cooked Salmon                     |                                                             |
| Artifacts                   | artifacts:everlasting_mutton                                 |    4232 |        0 |    false | Everlasting Raw Mutton                        |                                                             |
| Artifacts                   | artifacts:everlasting_porkchop                               |    4222 |        0 |    false | Everlasting Raw Porkchop                      |                                                             |
| Artifacts                   | artifacts:everlasting_rabbit                                 |    4230 |        0 |    false | Everlasting Raw Rabbit                        |                                                             |
| Artifacts                   | artifacts:everlasting_rabbit_stew                            |    4234 |        0 |    false | Everlasting Rabbit Stew                       |                                                             |
| Artifacts                   | artifacts:everlasting_rotten_flesh                           |    4228 |        0 |    false | Everlasting Rotten Flesh                      |                                                             |
| Artifacts                   | artifacts:everlasting_salmon                                 |    4237 |        0 |    false | Everlasting Raw Salmon                        |                                                             |
| Artifacts                   | artifacts:everlasting_spider_eye                             |    4229 |        0 |    false | Everlasting Spider Eye                        |                                                             |
| Artifacts                   | artifacts:feral_claws                                        |    4213 |        0 |    false | Feral Claws                                   |                                                             |
| Artifacts                   | artifacts:fire_gauntlet                                      |    4216 |        0 |    false | Fire Gauntlet                                 |                                                             |
| Artifacts                   | artifacts:flame_pendant                                      |    4203 |        0 |    false | Flame Pendant                                 |                                                             |
| Artifacts                   | artifacts:lucky_horseshoe                                    |    4207 |        0 |    false | Lucky Horseshoe                               |                                                             |
| Artifacts                   | artifacts:magma_stone                                        |    4212 |        0 |    false | Magma Stone                                   |                                                             |
| Artifacts                   | artifacts:mechanical_glove                                   |    4215 |        0 |    false | Mechanical Glove                              |                                                             |
| Artifacts                   | artifacts:night_vision_goggles                               |    4220 |        0 |    false | Night Vision Goggles                          |                                                             |
| Artifacts                   | artifacts:obsidian_skull                                     |    4200 |        0 |    false | Obsidian Skull                                |                                                             |
| Artifacts                   | artifacts:panic_necklace                                     |    4206 |        0 |    false | Panic Necklace                                |                                                             |
| Artifacts                   | artifacts:pocket_piston                                      |    4219 |        0 |    false | Pocket Piston                                 |                                                             |
| Artifacts                   | artifacts:power_glove                                        |    4214 |        0 |    false | Power Glove                                   |                                                             |
| Artifacts                   | artifacts:shiny_red_balloon                                  |    4199 |        0 |    false | Shiny Red Balloon                             |                                                             |
| Artifacts                   | artifacts:shock_pendant                                      |    4202 |        0 |    false | Shock Pendant                                 |                                                             |
| Artifacts                   | artifacts:snorkel                                            |    4201 |        0 |    false | Snorkel                                       |                                                             |
| Artifacts                   | artifacts:star_cloak                                         |    4218 |        0 |    false | Star Cloak                                    |                                                             |
| Artifacts                   | artifacts:thorn_pendant                                      |    4204 |        0 |    false | Thorn Pendant                                 |                                                             |
| Artifacts                   | artifacts:tiny_shirt                                         |    4221 |        0 |    false | Tiny Shirt                                    |                                                             |
| Artifacts                   | artifacts:ultimate_pendant                                   |    4205 |        0 |    false | Pendant of Ultimate Wrath                     |                                                             |
| Artifacts                   | artifacts:whoopie_cushion                                    |    4209 |        0 |    false | Whoopie Cushion                               |                                                             |
| Astral Sorcery              | astralsorcery:blockaltar                                     |    5533 |        0 |     true | Luminous Crafting Table                       |                                                             |
| Astral Sorcery              | astralsorcery:blockaltar                                     |    5533 |        1 |     true | Starlight Crafting Altar                      |                                                             |
| Astral Sorcery              | astralsorcery:blockaltar                                     |    5533 |        2 |     true | Celestial Altar                               |                                                             |
| Astral Sorcery              | astralsorcery:blockaltar                                     |    5533 |        3 |     true | Iridescent Altar                              |                                                             |
| Astral Sorcery              | astralsorcery:blockattunementaltar                           |    5505 |        0 |    false | Attunement Altar                              |                                                             |
| Astral Sorcery              | astralsorcery:blockattunementrelay                           |    5506 |        0 |    false | Spectral Relay                                |                                                             |
| Astral Sorcery              | astralsorcery:blockblackmarble                               |    5525 |        0 |     true | Sooty Marble                                  |                                                             |
| Astral Sorcery              | astralsorcery:blockblackmarble                               |    5525 |        1 |     true | Sooty Marble Bricks                           |                                                             |
| Astral Sorcery              | astralsorcery:blockblackmarble                               |    5525 |        2 |     true | Sooty Marble Pillar                           |                                                             |
| Astral Sorcery              | astralsorcery:blockblackmarble                               |    5525 |        3 |     true | Sooty Marble Arch                             |                                                             |
