+-------------------------------------------+----------+---------------------------------+-------------------------------------------------------------+-----+
| Registry name                             | Meta/dmg | Display name                    | Ore Dict Keys                                               | NBT |
+-------------------------------------------+----------+---------------------------------+-------------------------------------------------------------+-----+
| astralsorcery:blockcustomore              |        1 | Starmetal Ore                   | oreAstralStarmetal                                          |     |
| astralsorcery:blockcustomsandore          |        0 | Aquamarine Shale                | oreAquamarine                                               |     |
| astralsorcery:blockmarble                 |        0 | Marble                          | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                 |        1 | Marble Bricks                   | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                 |        2 | Marble Pillar                   | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                 |        3 | Marble Arch                     | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                 |        4 | Chiseled Marble                 | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                 |        5 | Engraved Marble                 | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                 |        6 | Runed Marble                    | blockMarble,stoneMarble                                     |     |
| astralsorcery:itemcraftingcomponent       |        0 | Aquamarine                      | gemAquamarine                                               |     |
| astralsorcery:itemcraftingcomponent       |        1 | Starmetal Ingot                 | ingotAstralStarmetal                                        |     |
| astralsorcery:itemcraftingcomponent       |        2 | Stardust                        | dustAstralStarmetal                                         |     |
| botania:bifrostperm                       |        0 | Bifrost Block                   | dyeRainbow                                                  |     |
| botania:blazeblock                        |        0 | Blaze Mesh                      | blockBlaze                                                  |     |
| botania:doubleflower1                     |        0 | Tall Mystical White Flower      | mysticFlowerWhiteDouble                                     |     |
| botania:doubleflower1                     |        1 | Tall Mystical Orange Flower     | mysticFlowerOrangeDouble                                    |     |
| botania:doubleflower1                     |        2 | Tall Mystical Magenta Flower    | mysticFlowerMagentaDouble                                   |     |
| botania:doubleflower1                     |        3 | Tall Mystical Light Blue Flower | mysticFlowerLightBlueDouble                                 |     |
| botania:doubleflower1                     |        4 | Tall Mystical Yellow Flower     | mysticFlowerYellowDouble                                    |     |
| botania:doubleflower1                     |        5 | Tall Mystical Lime Flower       | mysticFlowerLimeDouble                                      |     |
| botania:doubleflower1                     |        6 | Tall Mystical Pink Flower       | mysticFlowerPinkDouble                                      |     |
| botania:doubleflower1                     |        7 | Tall Mystical Gray Flower       | mysticFlowerGrayDouble                                      |     |
| botania:doubleflower2                     |        0 | Tall Mystical Light Gray Flower | mysticFlowerLightGrayDouble                                 |     |
| botania:doubleflower2                     |        1 | Tall Mystical Cyan Flower       | mysticFlowerCyanDouble                                      |     |
| botania:doubleflower2                     |        2 | Tall Mystical Purple Flower     | mysticFlowerPurpleDouble                                    |     |
| botania:doubleflower2                     |        3 | Tall Mystical Blue Flower       | mysticFlowerBlueDouble                                      |     |
| botania:doubleflower2                     |        4 | Tall Mystical Brown Flower      | mysticFlowerBrownDouble                                     |     |
| botania:doubleflower2                     |        5 | Tall Mystical Green Flower      | mysticFlowerGreenDouble                                     |     |
| botania:doubleflower2                     |        6 | Tall Mystical Red Flower        | mysticFlowerRedDouble                                       |     |
| botania:doubleflower2                     |        7 | Tall Mystical Black Flower      | mysticFlowerBlackDouble                                     |     |
| botania:dreamwood                         |        0 | Dreamwood                       | dreamwood                                                   |     |
| botania:dye                               |        0 | Floral White Powder             | dye,dyeWhite                                                |     |
| botania:dye                               |        1 | Floral Orange Powder            | dye,dyeOrange                                               |     |
| botania:dye                               |        2 | Floral Magenta Powder           | dye,dyeMagenta                                              |     |
| botania:dye                               |        3 | Floral Light Blue Powder        | dye,dyeLightBlue                                            |     |
| botania:dye                               |        4 | Floral Yellow Powder            | dye,dyeYellow                                               |     |
| botania:dye                               |        5 | Floral Lime Powder              | dye,dyeLime                                                 |     |
| botania:dye                               |        6 | Floral Pink Powder              | dye,dyePink                                                 |     |
| botania:dye                               |        7 | Floral Gray Powder              | dye,dyeGray                                                 |     |
| botania:dye                               |        8 | Floral Light Gray Powder        | dye,dyeLightGray                                            |     |
| botania:dye                               |        9 | Floral Cyan Powder              | dye,dyeCyan                                                 |     |
| botania:dye                               |       10 | Floral Purple Powder            | dye,dyePurple                                               |     |
| botania:dye                               |       11 | Floral Blue Powder              | dye,dyeBlue                                                 |     |
| botania:dye                               |       12 | Floral Brown Powder             | dye,dyeBrown                                                |     |
| botania:dye                               |       13 | Floral Green Powder             | dye,dyeGreen                                                |     |
| botania:dye                               |       14 | Floral Red Powder               | dye,dyeRed                                                  |     |
| botania:dye                               |       15 | Floral Black Powder             | dye,dyeBlack                                                |     |
| botania:dye                               |    32767 | (WILDCARD)                      | dye                                                         |     |
| botania:flower                            |        0 | Mystical White Flower           | mysticFlowerWhite                                           |     |
| botania:flower                            |        1 | Mystical Orange Flower          | mysticFlowerOrange                                          |     |
| botania:flower                            |        2 | Mystical Magenta Flower         | mysticFlowerMagenta                                         |     |
| botania:flower                            |        3 | Mystical Light Blue Flower      | mysticFlowerLightBlue                                       |     |
| botania:flower                            |        4 | Mystical Yellow Flower          | mysticFlowerYellow                                          |     |
| botania:flower                            |        5 | Mystical Lime Flower            | mysticFlowerLime                                            |     |
| botania:flower                            |        6 | Mystical Pink Flower            | mysticFlowerPink                                            |     |
