+-----------------------------+-------------------------------------------+----------+---------------------------------+-----+
| OreDict Key                 | Registry name                             | Meta/dmg | Display name                    | NBT |
+-----------------------------+-------------------------------------------+----------+---------------------------------+-----+
| bEnderAirBottle             | botania:manaresource                      |       15 | Ender Air Bottle                |     |
| bFlask                      | botania:vial                              |        1 | Alfglass Flask                  |     |
| bPlaceholder                | botania:manaresource                      |       11 | Crafting Placeholder            |     |
| bRedString                  | botania:manaresource                      |       12 | Red String                      |     |
| bVial                       | botania:vial                              |        0 | Managlass Vial                  |     |
| backpack                    | improvedbackpacks:backpack                |        0 | Backpack                        |     |
| blockAluminium              | embers:block_aluminum                     |        0 | Aluminium Block                 |     |
| blockAluminum               | embers:block_aluminum                     |        0 | Aluminium Block                 |     |
| blockAluminum               | immersiveengineering:storage              |        1 | Block of Aluminium              |     |
| blockAmethyst               | nex:amethyst_block                        |        0 | Nether Amethyst Block           |     |
| blockAquamarine             | naturalpledge:storage                     |        1 | Aquamarine Bricks               |     |
| blockBlaze                  | botania:blazeblock                        |        0 | Blaze Mesh                      |     |
| blockBronze                 | embers:block_bronze                       |        0 | Bronze Block                    |     |
| blockCactus                 | minecraft:cactus                          |        0 | Cactus                          |     |
| blockClay                   | minecraft:clay                            |        0 | Clay                            |     |
| blockCoal                   | minecraft:coal_block                      |        0 | Block of Coal                   |     |
| blockConstantan             | immersiveengineering:storage              |        6 | Block of Constantan             |     |
| blockCopper                 | embers:block_copper                       |        0 | Copper Block                    |     |
| blockCopper                 | immersiveengineering:storage              |        0 | Block of Copper                 |     |
| blockDawnstone              | embers:block_dawnstone                    |        0 | Dawnstone Block                 |     |
| blockDiamond                | minecraft:diamond_block                   |        0 | Block of Diamond                |     |
| blockEbonys                 | midnight:ebonys_block                     |        0 | Ebonite Block                   |     |
| blockElectrum               | embers:block_electrum                     |        0 | Electrum Block                  |     |
| blockElectrum               | immersiveengineering:storage              |        7 | Block of Electrum               |     |
| blockElvenElementium        | botania:storage                           |        2 | Block of Elementium             |     |
| blockEmerald                | minecraft:emerald_block                   |        0 | Block of Emerald                |     |
| blockFuelCoke               | immersiveengineering:stone_decoration     |        3 | Block of Coal Coke              |     |
| blockGlass                  | minecraft:glass                           |        0 | Glass                           |     |
| blockGlass                  | minecraft:stained_glass                   |    32767 | (WILDCARD)                      |     |
| blockGlass                  | naturalpledge:aqua_glass                  |    32767 | (WILDCARD)                      |     |
| blockGlass                  | nex:soul_glass                            |        0 | Soul Glass                      |     |
| blockGlassBlack             | minecraft:stained_glass                   |       15 | Black Stained Glass             |     |
| blockGlassBlue              | minecraft:stained_glass                   |       11 | Blue Stained Glass              |     |
| blockGlassBrown             | minecraft:stained_glass                   |       12 | Brown Stained Glass             |     |
| blockGlassColorless         | minecraft:glass                           |        0 | Glass                           |     |
| blockGlassCyan              | minecraft:stained_glass                   |        9 | Cyan Stained Glass              |     |
| blockGlassGray              | minecraft:stained_glass                   |        7 | Gray Stained Glass              |     |
| blockGlassGreen             | minecraft:stained_glass                   |       13 | Green Stained Glass             |     |
| blockGlassLightBlue         | minecraft:stained_glass                   |        3 | Light Blue Stained Glass        |     |
| blockGlassLightGray         | minecraft:stained_glass                   |        8 | Light Gray Stained Glass        |     |
| blockGlassLime              | minecraft:stained_glass                   |        5 | Lime Stained Glass              |     |
| blockGlassMagenta           | minecraft:stained_glass                   |        2 | Magenta Stained Glass           |     |
| blockGlassOrange            | minecraft:stained_glass                   |        1 | Orange Stained Glass            |     |
| blockGlassPink              | minecraft:stained_glass                   |        6 | Pink Stained Glass              |     |
| blockGlassPurple            | minecraft:stained_glass                   |       10 | Purple Stained Glass            |     |
| blockGlassRed               | minecraft:stained_glass                   |       14 | Red Stained Glass               |     |
| blockGlassWhite             | minecraft:stained_glass                   |        0 | White Stained Glass             |     |
| blockGlassYellow            | minecraft:stained_glass                   |        4 | Yellow Stained Glass            |     |
| blockGold                   | minecraft:gold_block                      |        0 | Block of Gold                   |     |
| blockIce                    | minecraft:ice                             |        0 | Ice                             |     |
| blockIron                   | minecraft:iron_block                      |        0 | Block of Iron                   |     |
| blockLapis                  | minecraft:lapis_block                     |        0 | Lapis Lazuli Block              |     |
| blockLead                   | embers:block_lead                         |        0 | Lead Block                      |     |
| blockLead                   | immersiveengineering:storage              |        2 | Block of Lead                   |     |
| blockManasteel              | botania:storage                           |        0 | Block of Manasteel              |     |
| blockMarble                 | astralsorcery:blockmarble                 |        0 | Marble                          |     |
| blockMarble                 | astralsorcery:blockmarble                 |        1 | Marble Bricks                   |     |
| blockMarble                 | astralsorcery:blockmarble                 |        2 | Marble Pillar                   |     |
| blockMarble                 | astralsorcery:blockmarble                 |        3 | Marble Arch                     |     |
| blockMarble                 | astralsorcery:blockmarble                 |        4 | Chiseled Marble                 |     |
| blockMarble                 | astralsorcery:blockmarble                 |        5 | Engraved Marble                 |     |
| blockMarble                 | astralsorcery:blockmarble                 |        6 | Runed Marble                    |     |
| blockNagrilite              | midnight:nagrilite_block                  |        0 | Nagrilite Block                 |     |
| blockNickel                 | embers:block_nickel                       |        0 | Nickel Block                    |     |
| blockNickel                 | immersiveengineering:storage              |        4 | Block of Nickel                 |     |
| blockPackedIce              | minecraft:packed_ice                      |        0 | Packed Ice                      |     |
| blockPrismarine             | minecraft:prismarine                      |        0 | Prismarine                      |     |
| blockPrismarineBrick        | minecraft:prismarine                      |        1 | Prismarine Bricks               |     |
| blockPrismarineDark         | minecraft:prismarine                      |        2 | Dark Prismarine                 |     |
| blockQuartz                 | minecraft:quartz_block                    |        0 | Block of Quartz                 |     |
| blockRedstone               | minecraft:redstone_block                  |        0 | Block of Redstone               |     |
| blockRime                   | nex:rime_block                            |        0 | Nether Rime Block               |     |
| blockSheetmetalAluminum     | immersiveengineering:sheetmetal           |        1 | Aluminium Sheetmetal            |     |
| blockSheetmetalConstantan   | immersiveengineering:sheetmetal           |        6 | Constantan Sheetmetal           |     |
| blockSheetmetalCopper       | immersiveengineering:sheetmetal           |        0 | Copper Sheetmetal               |     |
| blockSheetmetalElectrum     | immersiveengineering:sheetmetal           |        7 | Electrum Sheetmetal             |     |
| blockSheetmetalGold         | immersiveengineering:sheetmetal           |       10 | Gold Sheetmetal                 |     |
| blockSheetmetalIron         | immersiveengineering:sheetmetal           |        9 | Iron Sheetmetal                 |     |
| blockSheetmetalLead         | immersiveengineering:sheetmetal           |        2 | Lead Sheetmetal                 |     |
| blockSheetmetalNickel       | immersiveengineering:sheetmetal           |        4 | Nickel Sheetmetal               |     |
| blockSheetmetalSilver       | immersiveengineering:sheetmetal           |        3 | Silver Sheetmetal               |     |
| blockSheetmetalSteel        | immersiveengineering:sheetmetal           |        8 | Steel Sheetmetal                |     |
| blockSheetmetalUranium      | immersiveengineering:sheetmetal           |        5 | Uranium Sheetmetal              |     |
| blockSilver                 | embers:block_silver                       |        0 | Silver Block                    |     |
| blockSilver                 | immersiveengineering:storage              |        3 | Block of Silver                 |     |
| blockSlime                  | minecraft:slime                           |        0 | Slime Block                     |     |
| blockSteel                  | immersiveengineering:storage              |        8 | Block of Steel                  |     |
| blockTenebrum               | midnight:tenebrum_block                   |        0 | Tenebrum Block                  |     |
| blockTerrasteel             | botania:storage                           |        1 | Block of Terrasteel             |     |
| blockThundersteel           | naturalpledge:storage                     |        0 | Block of Thundersteel           |     |
| blockTin                    | embers:block_tin                          |        0 | Tin Block                       |     |
| blockUranium                | immersiveengineering:storage              |        5 | Block of Uranium                |     |
| blockWool                   | minecraft:wool                            |        0 | White Wool                      |     |
| bone                        | minecraft:bone                            |        0 | Bone                            |     |
| boneWithered                | nex:wither_bone                           |        0 | Wither Bone                     |     |
| bricksStone                 | minecraft:stonebrick                      |        0 | Stone Bricks                    |     |
| charcoal                    | minecraft:coal                            |        1 | Charcoal                        |     |
| chest                       | midnight:shadowroot_chest                 |        0 | Shadowroot Chest                |     |
| chest                       | minecraft:chest                           |        0 | Chest                           |     |
| chest                       | minecraft:ender_chest                     |        0 | Ender Chest                     |     |
| chest                       | minecraft:trapped_chest                   |        0 | Trapped Chest                   |     |
| chestEnder                  | minecraft:ender_chest                     |        0 | Ender Chest                     |     |
| chestTrapped                | minecraft:trapped_chest                   |        0 | Trapped Chest                   |     |
| chestWood                   | midnight:shadowroot_chest                 |        0 | Shadowroot Chest                |     |
| chestWood                   | minecraft:chest                           |        0 | Chest                           |     |
| clothManaweave              | botania:manaresource                      |       22 | Manaweave Cloth                 |     |
| coal                        | minecraft:coal                            |        0 | Coal                            |     |
| coal                        | minecraft:coal                            |        1 | Charcoal                        |     |
| cobblestone                 | minecraft:cobblestone                     |        0 | Cobblestone                     |     |
| concrete                    | immersiveengineering:stone_decoration     |        5 | Concrete                        |     |
| concrete                    | immersiveengineering:stone_decoration     |        6 | Concrete Tile                   |     |
| craftingTableWood           | minecraft:crafting_table                  |        0 | Crafting Table                  |     |
| cropCarrot                  | minecraft:carrot                          |        0 | Carrot                          |     |
| cropEnokimushroom           | nex:enoki_mushroom                        |        0 | Enoki Mushroom                  |     |
| cropNetherWart              | minecraft:nether_wart                     |        0 | Nether Wart                     |     |
| cropPotato                  | minecraft:potato                          |        0 | Potato                          |     |
| cropWheat                   | minecraft:wheat                           |        0 | Wheat                           |     |
| dirt                        | minecraft:dirt                            |        0 | Dirt                            |     |
| dirt                        | naturalpledge:aurora_dirt                 |    32767 | (WILDCARD)                      |     |
| dirt                        | naturalpledge:iris_dirt                   |    32767 | (WILDCARD)                      |     |
| divineSpirit                | naturalpledge:resource                    |        9 | Divine Spirit                   |     |
| divineSpirit                | naturalpledge:resource                    |       10 | Awakened Divine Spirit          |     |
| divineSpiritAwakened        | naturalpledge:resource                    |       10 | Awakened Divine Spirit          |     |
| doorWood                    | midnight:dark_willow_door                 |        0 | Dark Willow Door                |     |
| doorWood                    | midnight:dead_wood_door                   |        0 | Dead Wood Door                  |     |
| doorWood                    | midnight:shadowroot_door                  |        0 | Shadowroot Door                 |     |
| doorWood                    | minecraft:acacia_door                     |        0 | Acacia Door                     |     |
| doorWood                    | minecraft:birch_door                      |        0 | Birch Door                      |     |
| doorWood                    | minecraft:dark_oak_door                   |        0 | Dark Oak Door                   |     |
| doorWood                    | minecraft:jungle_door                     |        0 | Jungle Door                     |     |
| doorWood                    | minecraft:spruce_door                     |        0 | Spruce Door                     |     |
| doorWood                    | minecraft:wooden_door                     |        0 | Oak Door                        |     |
| dreamwood                   | botania:dreamwood                         |        0 | Dreamwood                       |     |
| dreamwoodTwig               | botania:manaresource                      |       13 | Dreamwood Twig                  |     |
| dustAluminum                | immersiveengineering:metal                |       10 | Aluminium Grit                  |     |
| dustAsh                     | embers:dust_ash                           |        0 | Ash Pile                        |     |
| dustAshes                   | embers:dust_ash                           |        0 | Ash Pile                        |     |
| dustAstralStarmetal         | astralsorcery:itemcraftingcomponent       |        2 | Stardust                        |     |
| dustCoke                    | immersiveengineering:material             |       17 | Coke Dust                       |     |
| dustConstantan              | immersiveengineering:metal                |       15 | Constantan Grit                 |     |
| dustCopper                  | immersiveengineering:metal                |        9 | Copper Grit                     |     |
| dustElectrum                | immersiveengineering:metal                |       16 | Electrum Grit                   |     |
| dustGlowstone               | minecraft:glowstone_dust                  |        0 | Glowstone Dust                  |     |
| dustGold                    | immersiveengineering:metal                |       19 | Gold Grit                       |     |
| dustHOPGraphite             | immersiveengineering:material             |       18 | HOP Graphite Dust               |     |
| dustIron                    | immersiveengineering:metal                |       18 | Iron Grit                       |     |
| dustLead                    | immersiveengineering:metal                |       11 | Lead Grit                       |     |
| dustNickel                  | immersiveengineering:metal                |       13 | Nickel Grit                     |     |
| dustPrismarine              | minecraft:prismarine_crystals             |        0 | Prismarine Crystals             |     |
| dustRedstone                | minecraft:redstone                        |        0 | Redstone                        |     |
| dustSaltpeter               | immersiveengineering:material             |       24 | Nitrate Dust                    |     |
| dustSilver                  | immersiveengineering:metal                |       12 | Silver Grit                     |     |
| dustSteel                   | immersiveengineering:metal                |       17 | Steel Grit                      |     |
| dustSulfur                  | immersiveengineering:material             |       25 | Sulfur Dust                     |     |
| dustUranium                 | immersiveengineering:metal                |       14 | Uranium Grit                    |     |
| dye                         | botania:dye                               |    32767 | (WILDCARD)                      |     |
| dye                         | minecraft:dye                             |    32767 | (WILDCARD)                      |     |
| dye                         | naturalpledge:dye_shard                   |        0 | White Iridescent Shard          |     |
| dye                         | naturalpledge:dye_shard                   |        1 | Orange Iridescent Shard         |     |
