+-----------------------+------------------------------------+------------------------------------------+-----+-------------------------+--------+---------------+
| Mod name              | Registry name                      | Potion Name                              |  ID | Liquid color            | Is bad | Is beneficial |
+-----------------------+------------------------------------+------------------------------------------+-----+-------------------------+--------+---------------+
| Apotheosis            | apotheosis:knowledge               | effect.apotheosis.knowledge              | 105 | 0x00F4EE42 (  16051778) |  false |          true |
| Apotheosis            | apotheosis:sundering               | effect.apotheosis.sundering              | 104 | 0x00989898 (  10000536) |   true |         false |
| Astral Sorcery        | astralsorcery:potionbleed          | effect.as.bleed                          | 107 | 0x00751200 (   7672320) |   true |         false |
| Astral Sorcery        | astralsorcery:potioncheatdeath     | effect.as.cheatdeath                     | 106 | 0x00FF5711 (  16733969) |  false |          true |
| Astral Sorcery        | astralsorcery:potiondropmodifier   | effect.as.dropmod                        | 109 | 0x00FFD114 (  16765204) |  false |          true |
| Astral Sorcery        | astralsorcery:potionspellplague    | effect.as.spellplague                    | 108 | 0x00680190 (   6816144) |   true |         false |
| Astral Sorcery        | astralsorcery:potiontimefreeze     | effect.as.timefreeze                     | 110 | 0x00B89AFF (  12098303) |  false |          true |
| Botania               | botania:allure                     | botania.potion.allure                    |  31 | 0x000034E4 (     13540) |  false |          true |
| Botania               | botania:bloodthirst                | botania.potion.bloodthirst               |  30 | 0x00C30000 (  12779520) |  false |          true |
| Botania               | botania:clear                      | botania.potion.clear                     |  32 | 0x00FFFFFF (  16777215) |  false |         false |
| Botania               | botania:emptiness                  | botania.potion.emptiness                 |  29 | 0x00FACFFF (  16437247) |  false |          true |
| Botania               | botania:featherfeet                | botania.potion.featherFeet               |  28 | 0x0026ADFF (   2534911) |  false |          true |
| Botania               | botania:soulcross                  | botania.potion.soulCross                 |   0 | 0x0047453D (   4670781) |  false |          true |
| Bountiful Baubles     | bountifulbaubles:sinful            | bountifulbaubles.effect.sinful           | 111 | 0x00101317 (   1053463) |  false |         false |
| Dungeon Mobs          | dungeonmobs:potion_addled          | effect.dungeonmobs.addled                |  33 | 0x00000000 (         0) |   true |         false |
| Immersive Engineering | immersiveengineering:concretefeet  | immersiveengineering.potion.concreteFeet |  39 | 0x00624A98 (   6441624) |   true |         false |
| Immersive Engineering | immersiveengineering:conductive    | immersiveengineering.potion.conductive   |  36 | 0x00690000 (   6881280) |   true |         false |
