+---------------------------------------+-----+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                         |  ID | Effects                                                                                                                                                                                 |
+---------------------------------------+-----+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| apotheosis:absorption                 | 176 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:1,duration:1200,isSplashPotion:false,isAmbient:false}                    |
| apotheosis:fatigue                    | 182 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}               |
| apotheosis:haste                      | 179 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                           |
| apotheosis:knowledge                  | 191 | PotionEffect:{Potion:[reg:apotheosis:knowledge,name:effect.apotheosis.knowledge,isBad:false,isBeneficial:true],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}          |
| apotheosis:long_absorption            | 177 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:1,duration:3600,isSplashPotion:false,isAmbient:false}                    |
| apotheosis:long_fatigue               | 183 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}               |
| apotheosis:long_haste                 | 180 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                           |
| apotheosis:long_knowledge             | 192 | PotionEffect:{Potion:[reg:apotheosis:knowledge,name:effect.apotheosis.knowledge,isBad:false,isBeneficial:true],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}          |
| apotheosis:long_resistance            | 174 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                    |
| apotheosis:long_sundering             | 189 | PotionEffect:{Potion:[reg:apotheosis:sundering,name:effect.apotheosis.sundering,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}          |
| apotheosis:long_wither                | 186 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                            |
| apotheosis:resistance                 | 173 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                    |
| apotheosis:strong_absorption          | 178 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:3,duration:600,isSplashPotion:false,isAmbient:false}                     |
