+-----------------------------------------------------+------+
| Registry name                                       |   ID |
+-----------------------------------------------------+------+
| apotheosis:altar_sound                              |  909 |
| artifacts:fart                                      |  662 |
| artifacts:mimic.close                               |  663 |
| artifacts:mimic.death                               |  666 |
| artifacts:mimic.hurt                                |  665 |
| artifacts:mimic.open                                |  664 |
| astralsorcery:attunement                            |  911 |
| astralsorcery:bookclose                             |  913 |
| astralsorcery:bookflip                              |  914 |
| astralsorcery:clipswitch                            |  910 |
| astralsorcery:craftfinish                           |  912 |
| beneath:beneath.drawnout                            |  917 |
| beneath:beneath.muffled                             |  916 |
| beneath:beneath.normal                              |  915 |
| beneath:dark1                                       |  919 |
| beneath:dark2                                       |  920 |
| beneath:deepdank                                    |  918 |
| beneath:scream                                      |  921 |
| botania:agricarnation                               |  668 |
| botania:airrod                                      |  667 |
| botania:altarcraft                                  |  669 |
| botania:babylonattack                               |  670 |
| botania:babylonspawn                                |  671 |
| botania:bellows                                     |  672 |
| botania:bifrostrod                                  |  673 |
| botania:blacklotus                                  |  674 |
| botania:dash                                        |  675 |
| botania:ding                                        |  676 |
| botania:divacharm                                   |  677 |
| botania:divinationrod                               |  678 |
| botania:doit                                        |  679 |
| botania:enchanterenchant                            |  682 |
| botania:enchanterfade                               |  681 |
| botania:enchanterform                               |  680 |
| botania:endoflame                                   |  683 |
| botania:equipbauble                                 |  684 |
| botania:gaiatrap                                    |  685 |
| botania:goldenlaurel                                |  686 |
| botania:holycloak                                   |  687 |
| botania:laputastart                                 |  688 |
| botania:lexiconopen                                 |  689 |
| botania:lexiconpage                                 |  690 |
| botania:lightrelay                                  |  691 |
| botania:manablaster                                 |  692 |
| botania:manapoolcraft                               |  693 |
| botania:missile                                     |  694 |
| botania:music.gaia1                                 |  708 |
| botania:music.gaia2                                 |  709 |
| botania:orechid                                     |  695 |
| botania:potioncreate                                |  696 |
| botania:runealtarcraft                              |  697 |
| botania:runealtarstart                              |  698 |
| botania:spreaderfire                                |  699 |
| botania:starcaller                                  |  700 |
| botania:terrablade                                  |  701 |
| botania:terraformrod                                |  702 |
| botania:terrapickmode                               |  703 |
| botania:terrasteelcraft                             |  704 |
| botania:thermalily                                  |  705 |
| botania:unholycloak                                 |  706 |
| botania:way                                         |  707 |
| dungeonmobs:1_l                                     |  926 |
| dungeonmobs:bl_b                                    |  983 |
| dungeonmobs:bl_d                                    |  982 |
| dungeonmobs:bl_l                                    |  980 |
| dungeonmobs:bl_sw                                   |  981 |
| dungeonmobs:bt_s                                    |  922 |
| dungeonmobs:cf_d                                    |  943 |
| dungeonmobs:cf_h                                    |  942 |
| dungeonmobs:cf_l                                    |  941 |
| dungeonmobs:co_d                                    |  954 |
| dungeonmobs:co_h                                    |  953 |
| dungeonmobs:co_l                                    |  952 |
| dungeonmobs:co_s                                    |  955 |
| dungeonmobs:d_d                                     |  940 |
| dungeonmobs:d_h                                     |  939 |
| dungeonmobs:d_l                                     |  938 |
| dungeonmobs:em_l1                                   |  984 |
| dungeonmobs:em_l2                                   |  985 |
| dungeonmobs:em_l3                                   |  986 |
| dungeonmobs:fa_l1                                   |  971 |
| dungeonmobs:fa_l2                                   |  972 |
| dungeonmobs:fa_l3                                   |  973 |
| dungeonmobs:fa_l4                                   |  974 |
| dungeonmobs:g2_d                                    |  990 |
| dungeonmobs:g2_h                                    |  989 |
| dungeonmobs:g2_l                                    |  987 |
| dungeonmobs:g2_l2                                   |  988 |
| dungeonmobs:g_d                                     |  925 |
| dungeonmobs:g_h                                     |  924 |
| dungeonmobs:g_l                                     |  923 |
| dungeonmobs:hh_h                                    |  937 |
