+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                              | Ticking? |
+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| al132.speedyhoppers.tile.TileSpeedyHopperI                                                                     | minecraft:speedyhopper_mk1                                 |      yes |
| al132.speedyhoppers.tile.TileSpeedyHopperII                                                                    | minecraft:speedyhopper_mk2                                 |      yes |
| al132.speedyhoppers.tile.TileSpeedyHopperIII                                                                   | minecraft:speedyhopper_mk3                                 |      yes |
| blusunrize.immersiveengineering.common.blocks.BlockFakeLight$TileEntityFakeLight                               | immersiveengineering:fakelight                             |      yes |
| blusunrize.immersiveengineering.common.blocks.TileEntityIESlab                                                 | immersiveengineering:ieslab                                |        - |
| blusunrize.immersiveengineering.common.blocks.cloth.TileEntityBalloon                                          | immersiveengineering:balloon                               |      yes |
| blusunrize.immersiveengineering.common.blocks.cloth.TileEntityShaderBanner                                     | immersiveengineering:shaderbanner                          |        - |
| blusunrize.immersiveengineering.common.blocks.cloth.TileEntityStripCurtain                                     | immersiveengineering:stripcurtain                          |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityArcFurnace                                       | immersiveengineering:arcfurnace                            |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityAssembler                                        | immersiveengineering:assembler                             |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityAutoWorkbench                                    | immersiveengineering:autoworkbench                         |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBelljar                                          | immersiveengineering:belljar                               |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBlastFurnacePreheater                            | immersiveengineering:blastfurnacepreheater                 |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBottlingMachine                                  | immersiveengineering:bottlingmachine                       |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBreakerSwitch                                    | immersiveengineering:breakerswitch                         |        - |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityBucketWheel                                      | immersiveengineering:bucketwheel                           |      yes |
| blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorCreative                                | immersiveengineering:capacitorcreative                     |      yes |
