+-------------------------------+---------------------------------------+-----------------+---------+----------------------------+
| Registry name                 | Career                                | Buy 1           | Buy 2   | Sell                       |
+-------------------------------+---------------------------------------+-----------------+---------+----------------------------+
| minecraft:priest              | cleric                                |                 |         |                            |
|                               |                                       | Rotten Flesh    |         | Emerald                    |
|                               |                                       | Gold Ingot      |         | Emerald                    |
|                               |                                       | Emerald         |         | Redstone                   |
|                               |                                       | Emerald         |         | Lapis Lazuli               |
|                               |                                       | Emerald         |         | Ender Pearl                |
|                               |                                       | Emerald         |         | Glowstone                  |
|                               |                                       | Emerald         |         | Bottle o' Enchanting       |
| primitivemobs:merchant        | primitivemobs.traveling_merchant      |                 |         |                            |
|                               |                                       | Cooked Porkchop |         | Emerald                    |
|                               |                                       | Emerald         |         | Slimeball                  |
|                               |                                       | Emerald         |         | Cocoa Beans                |
|                               |                                       | Emerald         |         | Fire Charge                |
|                               |                                       | Emerald         |         | Bone                       |
|                               |                                       | Emerald         |         | Ghast Tear                 |
|                               |                                       | Emerald         |         | Name Tag                   |
| minecraft:nitwit              | nitwit                                |                 |         |                            |
| primitivemobs:fakemerchant    | primitivemobs.fake_traveling_merchant |                 |         |                            |
|                               |                                       | Carrot          |         | Emerald                    |
|                               |                                       | Bread           |         | Emerald                    |
|                               |                                       | Apple           |         | Emerald                    |
|                               |                                       | Steak           |         | Emerald                    |
|                               |                                       | Cooked Chicken  |         | Emerald                    |
|                               |                                       | Cooked Fish     |         | Emerald                    |
|                               |                                       | Cooked Porkchop |         | Emerald                    |
|                               |                                       | Cooked Rabbit   |         | Emerald                    |
|                               |                                       | Emerald         |         | Pumpkin Seeds              |
|                               |                                       | Emerald         |         | Melon Seeds                |
|                               |                                       | Emerald         |         | Gold Ingot                 |
|                               |                                       | Emerald         |         | Arrow                      |
|                               |                                       | Emerald         |         | Slimeball                  |
|                               |                                       | Emerald         |         | Cocoa Beans                |
|                               |                                       | Emerald         |         | Beetroot                   |
|                               |                                       | Emerald         |         | Paper                      |
|                               |                                       | Emerald         |         | Flint                      |
|                               |                                       | Emerald         |         | Snowball                   |
|                               |                                       | Emerald         |         | Bone                       |
|                               |                                       | Emerald         |         | Fire Charge                |
|                               |                                       | Emerald         |         | Iron Ingot                 |
|                               |                                       | Emerald         |         | Arrow                      |
|                               |                                       | Emerald         |         | String                     |
|                               |                                       | Emerald         |         | Clay                       |
|                               |                                       | Emerald         |         | Rabbit's Foot              |
|                               |                                       | Emerald         |         | Redstone                   |
|                               |                                       | Emerald         |         | Blaze Powder               |
|                               |                                       | Emerald         |         | Book                       |
|                               |                                       | Emerald         |         | Ender Pearl                |
|                               |                                       | Emerald         |         | Bottle o' Enchanting       |
|                               |                                       | Emerald         |         | Diamond                    |
|                               |                                       | Emerald         |         | Ghast Tear                 |
|                               |                                       | Emerald         |         | Prismarine Crystals        |
|                               |                                       | Emerald         |         | Name Tag                   |
|                               |                                       | Emerald         |         | Uncraftable Tipped Arrow   |
|                               |                                       | Emerald         |         | Saddle                     |
|                               |                                       | Emerald         |         | Chorus Fruit               |
|                               |                                       | Emerald         |         | Golden Apple               |
| minecraft:librarian           | librarian                             |                 |         |                            |
|                               |                                       | Paper           |         | Emerald                    |
|                               |                                       | Book            | Emerald | Enchanted Book             |
|                               |                                       | Book            |         | Emerald                    |
|                               |                                       | Emerald         |         | Compass                    |
|                               |                                       | Emerald         |         | Bookshelf                  |
|                               |                                       | Written Book    |         | Emerald                    |
|                               |                                       | Emerald         |         | Clock                      |
|                               |                                       | Emerald         |         | Glass                      |
|                               |                                       | Book            | Emerald | Enchanted Book             |
|                               |                                       | Book            | Emerald | Enchanted Book             |
|                               |                                       | Emerald         |         | Name Tag                   |
|                               |                                       | ?               | ?       | [Exception. Treasure map?] |
|                               |                                       | ?               | ?       | [Exception. Treasure map?] |
|                               |                                       | ?               | ?       | [Exception. Treasure map?] |
| minecraft:librarian           | cartographer                          |                 |         |                            |
|                               |                                       | Paper           |         | Emerald                    |
|                               |                                       | Compass         |         | Emerald                    |
|                               |                                       | Emerald         |         | Empty Map                  |
| minecraft:butcher             | butcher                               |                 |         |                            |
|                               |                                       | Raw Porkchop    |         | Emerald                    |
|                               |                                       | Raw Chicken     |         | Emerald                    |
|                               |                                       | Coal            |         | Emerald                    |
|                               |                                       | Emerald         |         | Cooked Porkchop            |
|                               |                                       | Emerald         |         | Cooked Chicken             |
| minecraft:butcher             | leather                               |                 |         |                            |
|                               |                                       | Leather         |         | Emerald                    |
|                               |                                       | Emerald         |         | Leather Pants              |
|                               |                                       | Emerald         |         | Leather Tunic              |
|                               |                                       | Emerald         |         | Saddle                     |
| primitivemobs:miner           | primitivemobs.ore_miner               |                 |         |                            |
|                               |                                       | Iron Pickaxe    |         | Emerald                    |
|                               |                                       | Emerald         |         | Coal                       |
|                               |                                       | Emerald         |         | Iron Ore                   |
|                               |                                       | Emerald         |         | Gold Ore                   |
|                               |                                       | Emerald         |         | Obsidian                   |
| primitivemobs:miner           | primitivemobs.stone_miner             |                 |         |                            |
